"Survived","Pclass","Sex","Fare","AgeGroup","Embarked","FamilySize","Title"
0,3,"male",7.55,6,"S",1,"Mr"
0,3,"male",20.25,1,"S",3,"Master"
0,3,"male",20.25,1,"S",3,"Mr"
1,3,"female",20.25,7,"S",3,"Miss"
1,3,"female",7.65,1,"S",1,"Miss"
1,3,"male",7.65,3,"S",1,"Mr"
0,2,"male",24,3,"C",2,"Mr"
1,2,"female",24,3,"C",2,"Miss"
1,3,"male",7.925,1,"S",1,"Mr"
1,3,"female",7.2292,1,"C",1,"Miss"
0,3,"male",7.25,3,"S",1,"Mr"
0,3,"male",8.05,3,"S",1,"Mr"
0,3,"female",9.475,6,"S",2,"Miss"
1,3,"male",9.35,2,"S",2,"Master"
1,3,"female",9.35,1,"S",2,"Miss"
1,3,"male",18.7875,3,"C",1,"Mr"
0,2,"male",13,3,"S",1,"Mr"
0,3,"male",7.8875,3,"S",1,"Mr"
0,3,"male",7.925,1,"S",1,"Mr"
0,3,"male",7.05,3,"S",1,"Mr"
0,3,"male",7.05,3,"S",1,"Mr"
1,1,"female",211.3375,3,"S",1,"Miss"
0,3,"male",8.05,7,"S",1,"Mr"
1,1,"male",151.55,2,"S",4,"Master"
0,1,"female",151.55,2,"S",4,"Miss"
0,1,"male",151.55,3,"S",4,"Mr"
0,1,"female",151.55,3,"S",4,"Miss"
0,3,"male",8.3,1,"S",1,"Mr"
0,3,"male",22.525,7,"S",1,"Mr"
1,3,"female",7.8542,1,"S",2,"Miss"
1,1,"male",26.55,4,"S",1,"Mr"
0,3,"male",31.275,2,"S",7,"Master"
0,3,"female",31.275,2,"S",7,"Miss"
0,3,"female",31.275,2,"S",7,"Miss"
1,3,"female",7.925,1,"S",7,"Miss"
0,3,"female",7.775,7,"S",7,"Miss"
0,3,"female",31.275,2,"S",7,"Miss"
0,3,"female",31.275,2,"S",7,"Miss"
0,3,"male",31.275,6,"S",7,"Mr"
1,3,"male",7.7958,3,"S",1,"Mr"
0,3,"male",7.775,3,"S",1,"Mr"
0,3,"female",31.275,6,"S",7,"Miss"
0,3,"male",7.8542,1,"S",1,"Mr"
0,2,"male",11.5,1,"S",1,"Mr"
0,2,"male",10.5,3,"S",1,"Mr"
1,1,"female",77.9583,5,"S",2,"Miss"
0,1,"male",0,6,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"male",26,7,"S",2,"Mr"
1,2,"female",26,7,"S",2,"Miss"
1,1,"female",51.4792,4,"S",3,"Miss"
0,3,"male",17.8,3,"S",2,"Mr"
0,3,"female",17.8,1,"S",2,"Miss"
0,3,"male",7.775,3,"S",1,"Mr"
0,1,"male",49.5042,5,"C",1,"Mr"
0,2,"male",13,4,"S",1,"Mr"
0,3,"male",7.05,7,"S",1,"Mr"
0,3,"male",31.3875,2,"S",7,"Master"
0,3,"male",31.3875,2,"S",7,"Master"
1,3,"male",31.3875,2,"S",7,"Master"
0,3,"male",31.3875,1,"S",7,"Master"
1,3,"female",31.3875,2,"S",7,"Miss"
0,3,"male",31.3875,6,"S",7,"Mr"
1,3,"male",7.7958,1,"S",1,"Mr"
1,3,"female",31.3875,7,"S",7,"Miss"
1,3,"female",7.225,6,"C",1,"Miss"
0,3,"male",7.225,1,"C",1,"Mr"
0,3,"male",7.05,1,"S",1,"Mr"
0,1,"male",227.525,6,"C",2,"Nobelty"
1,1,"female",227.525,1,"C",2,"Miss"
0,3,"female",14.4583,1,"C",1,"Miss"
0,3,"male",7.225,3,"C",1,"Mr"
1,1,"female",69.3,3,"C",1,"Miss"
0,3,"male",7.8542,1,"S",1,"Mr"
1,3,"female",7.2292,1,"C",1,"Miss"
0,3,"male",7.225,1,"C",1,"Mr"
0,3,"male",15.85,7,"S",2,"Mr"
1,3,"female",15.85,7,"S",4,"Miss"
1,3,"female",19.2583,2,"C",4,"Miss"
1,3,"female",19.2583,2,"C",4,"Miss"
1,3,"female",19.2583,2,"C",4,"Miss"
1,3,"female",19.2583,3,"C",4,"Miss"
1,3,"female",8.05,1,"S",1,"Miss"
0,3,"male",7.225,6,"C",1,"Mr"
0,2,"male",11.5,1,"S",1,"Mr"
0,2,"male",10.5,1,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
1,2,"female",13,7,"S",1,"Miss"
0,2,"male",10.5,3,"S",1,"Mr"
1,3,"male",7.2292,1,"C",1,"Mr"
0,3,"female",14.4542,1,"C",2,"Miss"
0,3,"female",14.4542,6,"C",2,"Miss"
1,1,"female",78.85,3,"S",1,"Miss"
1,1,"male",30,5,"S",1,"Mr"
0,3,"female",7.8792,3,"Q",1,"Miss"
0,3,"male",8.05,1,"S",1,"Mr"
0,2,"male",12.525,4,"S",1,"Nobelty"
0,1,"male",25.925,6,"S",1,"Mr"
0,1,"male",247.5208,3,"C",2,"Mr"
1,1,"female",247.5208,4,"C",2,"Miss"
1,1,"female",76.2917,7,"C",1,"Miss"
1,2,"male",26,7,"S",2,"Mr"
1,2,"female",26,1,"S",2,"Miss"
0,1,"male",75.2417,7,"C",1,"Mr"
0,2,"male",26,3,"S",1,"Mr"
0,3,"male",8.05,1,"S",1,"Mr"
1,2,"male",39,2,"S",4,"Master"
1,2,"female",39,2,"S",4,"Miss"
1,2,"female",39,2,"S",4,"Miss"
1,2,"female",39,7,"S",4,"Miss"
1,1,"male",52.5542,7,"S",3,"Mr"
1,1,"female",52.5542,6,"S",3,"Miss"
1,2,"male",13,7,"S",1,"Mr"
1,1,"male",30,3,"C",1,"Mr"
0,3,"male",7.775,3,"S",1,"Mr"
1,2,"female",13,1,"S",1,"Miss"
0,3,"male",9.35,1,"S",1,"Mr"
0,2,"male",13,1,"S",1,"Mr"
0,3,"male",7.2292,2,"C",1,"Master"
0,3,"male",4.0125,1,"C",1,"Mr"
1,1,"female",227.525,6,"C",1,"Miss"
1,3,"male",56.4958,7,"S",1,"Mr"
1,1,"female",221.7792,3,"S",1,"Miss"
0,3,"male",7.775,1,"S",1,"Mr"
0,1,"male",26,3,"C",1,"Mr"
1,1,"male",91.0792,3,"C",2,"Mr"
1,1,"female",91.0792,1,"C",2,"Miss"
1,1,"female",135.6333,7,"S",1,"Miss"
0,3,"male",7.75,1,"S",1,"Mr"
1,1,"male",26.55,3,"S",1,"Mr"
0,1,"male",35.5,6,"S",1,"Mr"
1,1,"male",31,6,"C",1,"Mr"
1,1,"female",164.8667,3,"S",1,"Miss"
1,1,"female",26.55,4,"S",1,"Miss"
0,1,"male",26.55,6,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"male",13,3,"S",1,"Mr"
0,3,"male",15.2458,2,"C",3,"Master"
0,3,"female",15.2458,2,"C",3,"Miss"
0,3,"male",7.225,3,"C",1,"Mr"
0,3,"female",15.2458,3,"C",3,"Miss"
0,3,"female",7.75,3,"Q",3,"Miss"
0,3,"male",15.5,6,"Q",3,"Mr"
0,3,"female",15.5,7,"Q",3,"Miss"
1,1,"female",262.375,6,"C",1,"Miss"
0,3,"male",16.1,1,"S",1,"Mr"
0,2,"male",13,6,"S",1,"Mr"
1,1,"female",55,1,"S",2,"Miss"
0,2,"male",13,3,"S",1,"Mr"
1,3,"female",7.725,1,"Q",1,"Miss"
1,1,"male",26.55,6,"S",1,"Mr"
0,1,"male",30.5,6,"S",1,"Mr"
0,3,"female",7.8542,1,"S",1,"Miss"
0,1,"male",50.4958,4,"C",1,"Mr"
0,3,"male",7.0458,3,"S",2,"Mr"
0,3,"male",7.25,1,"S",2,"Mr"
0,1,"male",39.6,4,"C",1,"Nobelty"
0,3,"male",7.7958,1,"S",1,"Mr"
0,3,"male",8.05,7,"S",1,"Mr"
1,2,"female",13,3,"S",1,"Miss"
1,2,"female",39,1,"S",3,"Miss"
0,2,"male",39,5,"S",3,"Mr"
1,1,"female",27.7208,6,"C",1,"Miss"
1,1,"female",51.4792,5,"S",3,"Miss"
1,2,"female",39,6,"S",3,"Miss"
1,2,"female",26,1,"S",2,"Miss"
0,2,"male",26,3,"S",2,"Mr"
0,3,"female",7.2833,1,"Q",1,"Miss"
1,3,"male",7.8208,1,"Q",1,"Mr"
1,1,"female",76.2917,5,"C",1,"Miss"
0,3,"male",6.75,1,"Q",1,"Mr"
1,1,"female",134.5,6,"C",1,"Miss"
0,3,"female",7.8792,1,"Q",1,"Miss"
1,2,"female",13,7,"S",1,"Miss"
0,2,"male",13,3,"S",1,"Mr"
0,1,"male",26.55,6,"S",1,"Nobelty"
0,2,"male",13,6,"S",1,"Nobelty"
1,2,"female",13,6,"S",1,"Miss"
0,3,"female",8.6625,1,"S",1,"Miss"
0,3,"female",8.6625,3,"S",1,"Miss"
0,3,"male",8.6625,1,"S",1,"Mr"
0,3,"male",8.6625,7,"S",1,"Mr"
0,1,"male",31,6,"S",1,"Mr"
1,1,"male",26.2875,6,"S",1,"Mr"
1,2,"male",29,2,"S",3,"Master"
1,2,"male",29,3,"S",3,"Mr"
1,2,"female",29,1,"S",3,"Miss"
0,3,"male",8.6625,1,"S",1,"Mr"
0,3,"male",8.6625,1,"S",1,"Mr"
1,2,"female",21,7,"S",1,"Miss"
0,2,"male",0,7,"S",1,"Mr"
0,3,"female",7.75,1,"Q",1,"Miss"
0,3,"male",7.75,1,"Q",1,"Mr"
1,1,"female",27.4458,4,"C",1,"Miss"
0,3,"male",8.05,1,"S",1,"Mr"
0,3,"male",14.4583,3,"C",2,"Mr"
0,3,"female",14.4583,1,"C",2,"Miss"
0,2,"male",13,1,"S",1,"Mr"
1,1,"male",512.3292,7,"C",2,"Mr"
1,1,"female",512.3292,4,"C",2,"Miss"
0,3,"male",7.7958,3,"S",1,"Mr"
0,3,"male",7.8542,3,"S",1,"Mr"
0,1,"male",5,7,"S",1,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
0,3,"female",7.75,7,"Q",1,"Miss"
0,1,"male",47.1,3,"S",1,"Mr"
0,1,"male",47.1,1,"S",1,"Mr"
1,1,"male",120,2,"S",4,"Master"
1,1,"female",120,1,"S",4,"Miss"
1,1,"male",120,7,"S",4,"Mr"
0,2,"female",26,6,"S",2,"Miss"
1,1,"female",120,7,"S",4,"Miss"
0,2,"male",26,4,"S",2,"Nobelty"
0,3,"male",7.25,3,"S",1,"Mr"
0,1,"male",26,4,"S",1,"Mr"
1,1,"female",27.7208,7,"C",1,"Miss"
0,1,"male",78.85,7,"S",2,"Mr"
1,1,"female",78.85,5,"S",2,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
0,1,"male",61.175,6,"S",2,"Mr"
1,1,"female",61.175,6,"S",2,"Miss"
1,1,"male",53.1,3,"S",2,"Mr"
1,1,"female",53.1,7,"S",2,"Miss"
0,2,"male",13.5,4,"S",1,"Mr"
0,2,"male",26,7,"S",2,"Mr"
0,2,"female",26,3,"S",2,"Miss"
0,3,"male",7.7333,1,"Q",1,"Mr"
1,1,"female",262.375,7,"C",1,"Miss"
1,1,"female",86.5,3,"S",1,"Miss"
1,1,"male",29.7,6,"C",1,"Mr"
1,1,"female",55,7,"S",2,"Miss"
1,3,"male",56.4958,7,"S",1,"Mr"
0,1,"male",0,6,"S",1,"Mr"
0,3,"male",8.05,3,"S",1,"Mr"
1,2,"female",30,3,"S",3,"Miss"
1,2,"female",30,6,"S",3,"Miss"
0,3,"male",14.4542,3,"C",2,"Mr"
0,3,"male",14.4542,1,"C",2,"Mr"
0,1,"male",136.7792,3,"C",2,"Mr"
1,1,"female",136.7792,3,"C",2,"Miss"
0,2,"male",26,3,"S",2,"Mr"
1,2,"female",26,3,"S",2,"Miss"
1,1,"female",151.55,1,"S",1,"Miss"
0,1,"male",52,6,"S",1,"Mr"
0,3,"male",7.05,1,"S",1,"Mr"
1,3,"male",8.05,1,"S",1,"Mr"
0,3,"male",7.25,3,"Q",1,"Mr"
0,3,"male",7.4958,7,"S",1,"Mr"
0,3,"male",7.4958,3,"S",1,"Mr"
0,2,"male",10.5,3,"S",1,"Mr"
0,2,"male",13,3,"S",1,"Mr"
1,2,"male",10.5,3,"S",1,"Mr"
0,1,"male",25.5875,6,"S",1,"Mr"
1,2,"female",26.25,2,"S",3,"Miss"
0,2,"male",26.25,7,"S",3,"Mr"
1,2,"female",26.25,7,"S",3,"Miss"
1,1,"female",83.1583,6,"C",3,"Miss"
0,1,"male",83.1583,7,"C",3,"Mr"
1,1,"female",83.1583,5,"C",3,"Miss"
0,3,"male",7.7333,7,"Q",1,"Mr"
0,3,"male",7.75,7,"Q",1,"Mr"
1,3,"female",7.75,1,"Q",1,"Miss"
0,3,"female",7.6292,3,"Q",1,"Miss"
0,3,"male",7.75,5,"Q",1,"Mr"
0,3,"male",8.05,6,"S",1,"Mr"
1,2,"female",10.5,1,"S",1,"Miss"
0,3,"male",7.8958,7,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.8958,1,"S",1,"Mr"
0,2,"female",13,3,"S",1,"Miss"
0,2,"female",21,3,"S",1,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
1,1,"female",25.7,4,"S",3,"Miss"
0,2,"male",11.5,1,"S",1,"Mr"
1,3,"male",15.9,2,"S",3,"Master"
1,3,"male",15.9,2,"S",3,"Master"
1,3,"female",15.9,7,"S",3,"Miss"
0,3,"male",7.25,5,"S",1,"Mr"
0,1,"male",26.55,6,"S",1,"Mr"
0,3,"male",8.1583,1,"S",1,"Mr"
1,3,"female",16.1,1,"S",2,"Miss"
0,3,"male",16.1,6,"S",2,"Mr"
0,1,"male",71,5,"S",3,"Nobelty"
1,1,"female",71,7,"S",3,"Miss"
1,1,"female",26.55,5,"S",3,"Miss"
0,3,"male",8.6625,1,"S",1,"Mr"
0,1,"male",71.2833,6,"C",2,"Mr"
1,1,"female",71.2833,7,"C",2,"Miss"
0,2,"male",0,7,"S",1,"Mr"
0,3,"male",7.225,1,"C",1,"Mr"
1,3,"male",8.05,6,"S",1,"Mr"
0,3,"female",10.5167,1,"S",1,"Miss"
0,3,"male",10.1708,1,"S",1,"Mr"
1,3,"female",6.95,3,"Q",1,"Miss"
1,3,"male",7.75,3,"Q",1,"Mr"
1,1,"male",26.55,4,"S",1,"Mr"
0,3,"male",14.4,2,"S",3,"Master"
0,3,"male",14.4,7,"S",3,"Mr"
0,3,"female",14.4,3,"S",3,"Miss"
1,1,"male",30.5,3,"S",1,"Mr"
1,1,"female",151.55,7,"S",1,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,1,"male",52,7,"S",2,"Mr"
1,1,"female",52,3,"S",4,"Miss"
1,2,"male",36.75,2,"S",3,"Master"
0,3,"male",24.15,3,"S",3,"Mr"
0,2,"male",73.5,1,"S",1,"Mr"
0,3,"male",8.05,1,"S",1,"Mr"
0,3,"male",24.15,1,"S",3,"Mr"
0,3,"male",8.05,1,"S",3,"Mr"
1,2,"female",36.75,4,"S",3,"Miss"
1,2,"female",13,3,"S",1,"Miss"
0,3,"male",16.1,3,"S",2,"Mr"
1,3,"female",16.1,1,"S",2,"Miss"
0,2,"male",13,7,"S",1,"Mr"
1,3,"male",17.4,7,"S",2,"Mr"
1,3,"female",17.4,7,"S",2,"Miss"
1,3,"male",9.5,3,"S",1,"Mr"
0,3,"male",9.5,1,"S",1,"Mr"
0,2,"male",73.5,1,"S",1,"Mr"
1,3,"male",20.575,2,"S",4,"Master"
1,3,"female",20.575,2,"S",4,"Miss"
0,3,"male",20.575,3,"S",4,"Mr"
1,3,"female",20.575,7,"S",4,"Miss"
0,2,"male",27.7208,3,"C",2,"Mr"
1,2,"female",27.7208,3,"C",2,"Miss"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,2,"male",31.5,3,"S",1,"Mr"
0,3,"male",7.8958,3,"S",1,"Mr"
0,3,"male",7.25,1,"S",1,"Mr"
0,3,"male",7.25,7,"S",1,"Mr"
1,3,"female",7.8792,1,"Q",1,"Miss"
0,2,"male",73.5,1,"S",1,"Mr"
1,1,"male",57,7,"S",2,"Mr"
1,1,"female",57,1,"S",2,"Miss"
0,3,"male",7.8958,1,"S",1,"Mr"
0,3,"male",8.6625,6,"S",1,"Mr"
0,3,"male",7.8958,6,"S",1,"Mr"
1,1,"male",81.8583,4,"S",3,"Nobelty"
1,1,"male",81.8583,2,"S",3,"Master"
1,1,"female",81.8583,4,"S",3,"Miss"
0,3,"male",7.2292,3,"C",1,"Mr"
1,2,"female",23,1,"S",2,"Miss"
1,2,"female",23,7,"S",2,"Miss"
0,3,"male",7.75,7,"Q",1,"Mr"
1,3,"male",8.05,1,"S",1,"Mr"
0,1,"male",106.425,4,"C",2,"Mr"
1,1,"female",247.5208,3,"C",3,"Miss"
1,1,"female",106.425,4,"C",2,"Miss"
1,3,"female",12.475,3,"S",1,"Miss"
0,2,"male",26,4,"S",1,"Mr"
0,3,"female",7.75,3,"Q",1,"Miss"
1,3,"female",8.05,1,"S",1,"Miss"
0,3,"male",7.8958,7,"C",1,"Mr"
1,2,"male",32.5,2,"S",3,"Master"
0,2,"male",32.5,6,"S",3,"Mr"
1,2,"female",32.5,7,"S",3,"Miss"
0,3,"male",7.75,5,"Q",1,"Mr"
1,1,"female",39.6,4,"C",2,"Nobelty"
1,1,"male",56.9292,4,"C",2,"Nobelty"
0,1,"male",29.7,6,"C",1,"Mr"
1,3,"male",7.55,3,"S",1,"Mr"
1,2,"female",13.8583,3,"C",2,"Miss"
1,2,"female",13.8583,3,"C",2,"Miss"
0,3,"male",13.9,1,"S",2,"Mr"
1,3,"female",13.9,1,"S",2,"Miss"
1,1,"female",83.1583,1,"C",2,"Miss"
0,3,"male",7.775,1,"S",1,"Mr"
0,2,"male",13,1,"S",1,"Mr"
0,3,"male",7.775,1,"S",1,"Mr"
0,3,"male",6.975,6,"S",1,"Mr"
0,3,"male",7.225,3,"C",1,"Mr"
0,3,"male",7.2292,6,"C",3,"Mr"
0,3,"male",7.2292,1,"C",3,"Mr"
0,3,"male",7.2292,1,"C",3,"Mr"
0,3,"male",7.25,6,"S",1,"Mr"
1,3,"female",12.475,2,"S",1,"Miss"
0,3,"male",7.225,3,"C",1,"Mr"
0,2,"male",13,1,"S",1,"Mr"
1,1,"female",227.525,7,"C",1,"Miss"
1,1,"female",78.2667,4,"C",2,"Miss"
0,1,"female",31.6792,7,"C",1,"Miss"
0,3,"male",15.1,6,"S",1,"Mr"
0,2,"male",13,1,"S",1,"Mr"
0,3,"male",7.75,6,"Q",1,"Mr"
0,1,"male",221.7792,6,"S",1,"Mr"
0,2,"male",26,6,"S",2,"Mr"
1,2,"female",26,3,"S",2,"Miss"
0,2,"male",10.5,1,"S",1,"Mr"
1,3,"male",7.05,3,"S",1,"Mr"
0,3,"male",7.7958,1,"S",1,"Mr"
1,1,"female",31.6833,7,"S",1,"Miss"
0,3,"female",7.75,1,"Q",1,"Miss"
1,1,"female",110.8833,7,"C",1,"Miss"
0,3,"male",7.75,3,"Q",1,"Mr"
0,3,"male",6.95,3,"Q",1,"Mr"
1,1,"male",26.3875,7,"S",1,"Mr"
0,3,"male",7.8792,3,"Q",1,"Mr"
0,3,"male",7.75,3,"Q",1,"Mr"
1,3,"male",56.4958,3,"S",1,"Mr"
0,3,"female",34.375,1,"S",5,"Miss"
0,3,"female",34.375,2,"S",5,"Miss"
0,3,"male",8.05,3,"S",1,"Mr"
0,3,"male",34.375,1,"S",5,"Mr"
0,3,"male",34.375,1,"S",5,"Mr"
0,3,"female",34.375,4,"S",5,"Miss"
0,1,"male",27.75,3,"C",1,"Mr"
1,1,"female",263,3,"S",6,"Miss"
1,1,"female",263,3,"S",6,"Miss"
1,1,"female",263,1,"S",6,"Miss"
0,1,"male",263,1,"S",6,"Mr"
0,1,"male",263,5,"S",6,"Mr"
1,1,"female",263,5,"S",6,"Miss"
0,3,"male",7.75,3,"Q",1,"Mr"
0,2,"male",13,7,"S",1,"Mr"
1,1,"female",56.9292,3,"C",1,"Miss"
0,3,"male",7.25,3,"S",1,"Mr"
0,1,"male",26.55,6,"S",1,"Mr"
1,1,"male",133.65,4,"S",3,"Nobelty"
1,1,"male",27.7208,6,"C",2,"Mr"
1,1,"female",133.65,7,"S",2,"Miss"
1,1,"female",49.5,1,"C",3,"Miss"
1,1,"male",79.2,5,"C",3,"Mr"
1,1,"female",79.2,4,"C",3,"Miss"
0,2,"male",0,7,"S",1,"Mr"
0,1,"male",0,6,"S",1,"Mr"
0,2,"female",13,7,"S",1,"Miss"
0,1,"male",53.1,7,"S",2,"Mr"
1,1,"female",53.1,7,"S",2,"Miss"
0,2,"male",26,7,"S",1,"Mr"
0,2,"male",21,7,"S",2,"Mr"
0,2,"male",21,7,"S",2,"Mr"
0,3,"male",7.7417,3,"Q",1,"Mr"
0,3,"male",14.5,3,"S",1,"Mr"
1,2,"female",13,7,"S",1,"Miss"
0,2,"male",26,1,"S",1,"Mr"
0,2,"male",10.5,3,"S",1,"Mr"
0,1,"male",38.5,6,"S",1,"Mr"
1,1,"female",211.5,7,"C",1,"Miss"
0,3,"male",7.8958,3,"C",1,"Mr"
1,1,"female",59.4,1,"C",2,"Miss"
1,1,"female",59.4,6,"C",2,"Miss"
